term,semester,category,initials,description,date
block2,Spring 2018,Fees,DF,Drop/Audit Fee Begins ($10 per class),3/6/2018
block2,Spring 2018,Fees,RF,Last Day for Refund,3/9/2018
block2,Spring 2018,Fees,TD,Tuition and Fees Due,3/1/2018
block2,Spring 2018,Registration,AA,Last Day to Add/Audit,3/20/2018
block2,Fall 2018,Registration,CA,Fall 2018 Class Schedules Available Online,3/19/2018
block2,Spring 2018,Registration,CW,Last Day for Complete Withdrawal,4/16/2018
block2,Spring 2018,Registration,DD,Last Day to Drop Individual Class,3/3/2018
block2,Spring 2018,Registration,E,Classwork Ends for 2nd 7 week block,4/25/2018
block2,Summer 2018,Registration,IA,International Students Application Deadline for Summer 2018,4/1/2018
block2,Spring 2018,Registration,SG,Last Day to Add Without Signature,3/2/2018
block2,Summer 2018,Registration,SR,Summer Registration open to Seniors (90+ credits),3/19/2018
block2,Summer 2018,Registration,JR,Summer Registration open to Juniors (60+ Credits),3/20/2018
block2,Summer 2018,Registration,SO,Summer Registration open to Sophomores (30+ Credits),3/21/2018
block2,Summer 2018,Registration,OR,Summer Registration open to all students,3/22/2018
block2,Spring 2018,Registration,WG,Last Day to drop without receiving a 'W' grade,1/29/2018
block2,Spring 2018,Registration,WL,Last Day for Waitlist,1/11/2018
block2,Fall 2018,Registration,SR,Fall 18 Registration open to Seniors (90+ credits),4/9/2018
block2,Fall 2018,Registration,JR,Fall 18 Registration open to Juniors (60+ Credits),4/10/2018
block2,Fall 2018,Registration,SO,Fall 18 Registration open to Sophomores (30+ Credits),4/11/2018
block2,Fall 2018,Registration,OR,Fall 18 Open Registration for all students,4/12/2018
block2,Spring 2018,Classwork,FE,Final Exams,4/27/2018
block2,Spring 2018,Classwork,FE,Final Exams,4/30/2018
block2,Spring 2018,Classwork,FE,Final Exams,5/1/2018
block2,Spring 2018,Classwork,FE,Final Exams,5/2/2018
block2,Spring 2018,Classwork,FE,Final Exams,5/3/2018
block2,Spring 2018,Classwork,MT,Mid-Term Grades Due,2/26/2018
block2,Spring 2018,Classwork,RD,Reading Day,4/26/2018
block2,Spring 2018,Classwork,CB,Classwork Begins,1/8/2018
block2,Spring 2018,Breaks,SB,Spring Break,3/12/2018
block2,Spring 2018,Breaks,SB,Spring Break,3/13/2018
block2,Spring 2018,Breaks,SB,Spring Break,3/14/2018
block2,Spring 2018,Breaks,SB,Spring Break,3/15/2018
block2,Spring 2018,Breaks,SB,Spring Break,3/16/2018
block2,Spring 2018,Holiday,H,New Years Day,1/1/2018
block2,Spring 2018,Holiday,H,Martin Luther King Jr. Day,1/15/2018
block2,Spring 2018,Holiday,H,President's Day,2/19/2018
block2,Spring 2018,Graduation,CO,Commencement,5/4/2018
block2,Spring 2018,Graduation,GR,Associate's Degree Graduation Deadline Spring 2018,2/1/2018
block2,Summer 2018,Graduation,GR,Associate's Degree Graduation Deadline Summer 2018,5/1/2018
block2,Fall 2018,Graduation,GR,Bachelor's Degree Graduation Deadline Fall 2018,4/2/2018
block2,Summer 2018,Graduation,GR,Bachelor's Degree Graduation Deadline Summer 2018,3/1/2018
block2,Spring 2018,Graduation,GR,Bachelor's Degree Gradution Deadline Spring 2018,11/1/2017
